(0, 93, 27)
(0, 93, 28)
(1, 92, 28)
(1, 92, 29)
(0, 93, 30)
(1, 93, 29)
(0, 94, 30)
(1, 94, 29)
(0, 95, 29)
(1, 95, 28)
(1, 95, 27)
(0, 96, 27)
(0, 96, 26)
(0, 96, 25)
(0, 96, 24)
(1, 95, 23)
(0, 95, 24)
(0, 95, 25)
(1, 94, 25)
(0, 94, 25)
(1, 93, 24)
(0, 93, 24)
(1, 92, 24)
(0, 92, 25)
(1, 91, 24)
(0, 91, 25)
(0, 91, 26)
(0, 91, 27)
(1, 91, 27)
(1, 91, 28)
(0, 91, 29)
(1, 90, 28)
(0, 90, 29)
(1, 89, 28)
(1, 89, 27)
(0, 90, 27)
(0, 90, 26)
(0, 90, 25)
(0, 90, 24)
(0, 90, 23)
(1, 90, 22)
(1, 90, 21)
(0, 91, 21)
(1, 91, 20)
(0, 92, 20)
(1, 92, 20)
(0, 93, 20)
(1, 93, 20)
(1, 93, 21)
(1, 93, 22)
(0, 94, 23)
(1, 94, 22)
(1, 94, 21)
(0, 95, 21)
(0, 95, 20)
(1, 94, 19)
(1, 94, 18)
(1, 94, 17)
(0, 95, 17)
(1, 95, 17)
(1, 95, 18)
(0, 96, 19)
(1, 96, 18)
(1, 96, 17)
(0, 97, 17)
(1, 97, 17)
(1, 97, 18)
(0, 98, 19)
(1, 98, 18)
(0, 99, 19)
(0, 99, 20)
(1, 99, 20)
(0, 100, 20)
(1, 100, 20)
(1, 100, 21)
(1, 100, 22)
(1, 100, 23)
(0, 100, 24)
(0, 100, 25)
(0, 100, 26)
(1, 99, 26)
(0, 99, 27)
(1, 98, 27)
(0, 98, 28)
(1, 97, 27)
(0, 97, 28)
(1, 96, 28)
(1, 96, 29)
(0, 97, 30)
(0, 97, 31)
(1, 97, 31)
(0, 98, 31)
(1, 98, 30)
(0, 99, 30)
(1, 99, 30)
(0, 100, 31)
(1, 100, 31)
(1, 100, 32)
(0, 100, 33)
(1, 99, 32)
(0, 99, 33)
(1, 98, 32)
(0, 98, 33)
(0, 98, 34)
(1, 97, 34)
(0, 97, 34)
(1, 96, 33)
(1, 96, 32)
(0, 96, 32)
(1, 95, 32)
(0, 95, 32)
(1, 94, 32)
(0, 94, 33)
(0, 94, 34)
(1, 94, 34)
(0, 95, 35)
(1, 95, 34)
(0, 96, 35)
(1, 96, 35)
(0, 97, 36)
(1, 97, 36)
(0, 98, 37)
(1, 98, 37)
(1, 98, 38)
(0, 99, 39)
(1, 99, 39)
(1, 99, 40)
(0, 99, 41)
(1, 98, 40)
(0, 98, 40)
(1, 97, 40)
(0, 97, 41)
(1, 96, 41)
(0, 96, 41)
(1, 95, 41)
(1, 95, 42)
(0, 95, 43)
(0, 95, 44)
(1, 94, 44)
(0, 94, 44)
(0, 94, 43)
(0, 94, 42)
(1, 93, 41)
(0, 93, 41)
(1, 92, 41)
(0, 92, 41)
(1, 91, 40)
(1, 91, 39)
(0, 92, 39)
(1, 92, 39)
(0, 93, 39)
(1, 93, 38)
(1, 93, 37)
(0, 93, 37)
(1, 92, 36)
(0, 92, 36)
(1, 91, 35)
(1, 91, 34)
(0, 92, 34)
(0, 92, 33)
(0, 92, 32)
(0, 92, 31)
(1, 91, 30)
(0, 91, 31)
(1, 90, 31)
(0, 90, 31)
(1, 89, 30)
(0, 89, 31)
(1, 88, 30)
(0, 88, 31)
(0, 88, 32)
(1, 88, 32)
(1, 88, 33)
(0, 89, 34)
(1, 89, 34)
(0, 90, 35)
(0, 90, 36)
(0, 90, 37)
(1, 90, 37)
(1, 90, 38)
(0, 90, 39)
(0, 90, 40)
(1, 89, 40)
(0, 89, 41)
(0, 89, 42)
(1, 89, 42)
(0, 90, 43)
(1, 90, 42)
(0, 91, 43)
(0, 91, 44)
(1, 90, 44)
(0, 90, 45)
(0, 90, 46)
(1, 90, 46)
(0, 91, 47)
(0, 91, 48)
(1, 90, 48)
(1, 90, 49)
(1, 90, 50)
(1, 90, 51)
(0, 91, 52)
(1, 91, 51)
(0, 92, 51)
(0, 92, 50)
(1, 92, 49)
(0, 93, 50)
(0, 93, 51)
(0, 93, 52)
(1, 93, 52)
(0, 94, 52)
(1, 94, 51)
(1, 94, 50)
(0, 94, 50)
(0, 94, 49)
(0, 94, 48)
(1, 94, 47)
(0, 95, 47)
(1, 95, 47)
(0, 96, 48)
(0, 96, 49)
(1, 95, 49)
(1, 95, 50)
(0, 96, 51)
(1, 96, 50)
(0, 97, 50)
(1, 97, 49)
(0, 98, 50)
(0, 98, 51)
(0, 98, 52)
(1, 98, 52)
(0, 99, 52)
(1, 99, 52)
(0, 100, 52)
(1, 100, 52)
(1, 100, 53)
(0, 100, 54)
(1, 99, 54)
(0, 99, 54)
(1, 98, 54)
(0, 98, 55)
(1, 97, 54)
(1, 97, 53)
(0, 97, 53)
(1, 96, 53)
(1, 96, 54)
(0, 96, 55)
(1, 95, 54)
(1, 95, 53)
(0, 95, 53)
(1, 94, 53)
(1, 94, 54)
(1, 94, 55)
(1, 94, 56)
(0, 95, 57)
(1, 95, 57)
(0, 96, 57)
(1, 96, 57)
(1, 96, 58)
(0, 97, 59)
(1, 97, 59)
(0, 98, 60)
(0, 98, 61)
(0, 98, 62)
(1, 98, 62)
(1, 98, 63)
(0, 99, 64)
(1, 99, 63)
(0, 100, 63)
(1, 100, 63)
(1, 100, 64)
(0, 100, 65)
(0, 100, 66)
(0, 100, 67)
(1, 100, 67)
(1, 100, 68)
(1, 100, 69)
(1, 100, 70)
(1, 100, 71)
(0, 100, 72)
(0, 100, 73)
(1, 99, 73)
(0, 99, 73)
(1, 98, 72)
(1, 98, 71)
(0, 99, 71)
(1, 99, 70)
(1, 99, 69)
(0, 99, 69)
(0, 99, 68)
(0, 99, 67)
(1, 98, 66)
(0, 98, 67)
(0, 98, 68)
(1, 97, 68)
(1, 97, 69)
(0, 97, 70)
(0, 97, 71)
(1, 97, 71)
(1, 97, 72)
(0, 97, 73)
(0, 97, 74)
(0, 97, 75)
(1, 96, 75)
(0, 96, 75)
(0, 96, 74)
(0, 96, 73)
(0, 96, 72)
(1, 95, 71)
(1, 95, 70)
(0, 96, 70)
(0, 96, 69)
(1, 95, 68)
(0, 95, 68)
(1, 94, 67)
(1, 94, 66)
(0, 95, 66)
(1, 95, 66)
(0, 96, 67)
(1, 96, 66)
(1, 96, 65)
(0, 97, 65)
(0, 97, 64)
(1, 96, 63)
(0, 96, 63)
(1, 95, 63)
(0, 95, 63)
(1, 94, 63)
(0, 94, 64)
(0, 94, 65)
(1, 93, 65)
(0, 93, 65)
(1, 92, 64)
(1, 92, 63)
(0, 92, 63)
(1, 91, 62)
(0, 91, 62)
(1, 90, 62)
(1, 90, 63)
(1, 90, 64)
(0, 90, 65)
(1, 89, 65)
(0, 89, 66)
(0, 89, 67)
(1, 89, 67)
(0, 90, 67)
(1, 90, 67)
(1, 90, 68)
(0, 91, 69)
(0, 91, 70)
(1, 90, 70)
(1, 90, 71)
(0, 90, 72)
(1, 89, 71)
(0, 89, 71)
(1, 88, 70)
(0, 88, 71)
(1, 87, 71)
(1, 87, 72)
(0, 87, 73)
(0, 87, 74)
(1, 87, 74)
(1, 87, 75)
(0, 88, 76)
(0, 88, 77)
(0, 88, 78)
(1, 88, 78)
(0, 89, 79)
(0, 89, 80)
(0, 89, 81)
(0, 89, 82)
(1, 88, 82)
(1, 88, 83)
(0, 89, 84)
(1, 89, 84)
(1, 89, 85)
(0, 89, 86)
(1, 88, 86)
(1, 88, 87)
(0, 89, 88)
(1, 89, 88)
(1, 89, 89)
(0, 89, 90)
(0, 89, 91)
(1, 89, 91)
(0, 90, 92)
(1, 90, 91)
(0, 91, 91)
(1, 91, 91)
(0, 92, 92)
(0, 92, 93)
(0, 92, 94)
(0, 92, 95)
(0, 92, 96)
(1, 91, 96)
(1, 91, 97)
(0, 91, 98)
(1, 90, 97)
(0, 90, 97)
(0, 90, 96)
(0, 90, 95)
(1, 89, 94)
(0, 89, 95)
(1, 88, 95)
(0, 88, 95)
(0, 88, 94)
(1, 87, 93)
(0, 87, 93)
(0, 87, 92)
(0, 87, 91)
(1, 87, 90)
(1, 87, 89)
(0, 87, 89)
(1, 86, 89)
(0, 86, 90)
(0, 86, 91)
(0, 86, 92)
(0, 86, 93)
(0, 86, 94)
(1, 86, 94)
(0, 87, 95)
(0, 87, 96)
(1, 86, 96)
(1, 86, 97)
(0, 86, 98)
(1, 85, 98)
(1, 85, 99)
(0, 86, 100)
(1, 86, 100)
(0, 87, 101)
(1, 87, 101)
(1, 87, 102)
(0, 87, 103)
(0, 87, 104)
(1, 86, 104)
(1, 86, 105)
(0, 86, 106)
(1, 85, 106)
(0, 85, 106)
(0, 85, 105)
(0, 85, 104)
(1, 84, 103)
(0, 84, 104)
(0, 84, 105)
(0, 84, 106)
(1, 83, 106)
(0, 83, 106)
(1, 82, 106)
(1, 82, 107)
